metric,group1,group2,U_stat,p_value,rank_biserial_r,significant
jsd_score,ChatGPT,Gemini,3998.0,0.88286489605903,0.012839506172839465,No
bert_score_f1,ChatGPT,Gemini,3344.0,0.04355029323405275,0.17432098765432102,Yes
mattr,ChatGPT,Gemini,4180.0,0.7110160888634933,-0.032098765432098775,No
hedge_density,ChatGPT,Gemini,5457.0,5.7237100396139245e-05,-0.3474074074074074,Yes
mean_sent_len,ChatGPT,Gemini,1610.0,2.967145092710808e-12,0.6024691358024692,Yes
sent_len_var,ChatGPT,Gemini,4231.0,0.6055752328442311,-0.04469135802469126,No
Care_Fairness_Score,ChatGPT,Gemini,5064.5,0.0037196899221427922,-0.25049382716049373,Yes
Authority_Loyalty_Score,ChatGPT,Gemini,4512.0,0.18672617186939944,-0.114074074074074,No
Technocratic_Framing_Score,ChatGPT,Gemini,5491.5,1.4743170025447795e-05,-0.355925925925926,Yes
US_Distinctive_Term_Frequency,ChatGPT,Gemini,6515.0,1.7790290575933003e-12,-0.6086419753086421,Yes
