Metric,Domain,Sarvam_mean,Sarvam_std,Western_mean,Western_std,U_stat,p_value,effect_size_r
mattr,Air Pollution,0.7425132665775033,0.017245494482491373,0.809444008600217,0.02794248424346435,14.0,1.3048628716155219e-12,0.9813333333333333
hedge_density,Air Pollution,0.34423849197908474,0.11287560547136717,0.30831143763980484,0.11793607911052444,882.5,0.2029706764614806,-0.17666666666666675
mean_sent_len,Air Pollution,30.5863943175382,6.5502388593912455,27.13312712272165,7.480619936773828,953.0,0.050808579600381924,-0.2706666666666666
sent_len_var,Air Pollution,1448.216428137959,1055.6347541381226,431.3109360281289,318.23520694305995,1227.0,4.311456170738621e-06,-0.6359999999999999
US_Distinctive_Term_Frequency,Air Pollution,83.96404403966834,12.190252530674417,89.30896331229515,18.24352490054175,631.0,0.25307368117659257,0.15866666666666662
mattr,Data Protection,0.7074970599981747,0.019186670801841523,0.756760083037582,0.03990108547583985,191.0,3.1355525050114344e-08,0.7551282051282051
hedge_density,Data Protection,0.40162330025664894,0.1364373383896792,0.3820851476589689,0.19899931708141397,913.0,0.21279964597987688,-0.17051282051282057
mean_sent_len,Data Protection,33.83841964587874,8.309537884036041,23.698112142801058,3.4994731187891195,1332.0,2.1511089167066417e-07,-0.7076923076923076
sent_len_var,Data Protection,1900.9822945584015,1216.6284825553087,446.36518686216317,280.47084001206315,1403.0,4.8162974382243135e-09,-0.7987179487179488
US_Distinctive_Term_Frequency,Data Protection,71.07290125921422,7.228315765652088,77.68743230732562,11.626901152188912,501.5,0.008947333736627624,0.357051282051282
GDPR_Mean_Similarity,Data Protection,0.8839986209685986,0.1775673974563802,0.9266273319721222,0.006919514934585931,548.0,0.02949505752212867,0.2974358974358975
