metric,factor,H_U,p,effect_size,effect_size_type,effect_size_note,kw_anova_note
jsd_score,condition,89.27546961325959,4.1122365500077415e-20,0.4930817492274553,eta_squared,"small>=0.01, medium>=0.06, large>=0.14",
jsd_score,domain,60.01815837937375,9.273047852620945e-14,0.327786205533185,eta_squared,"small>=0.01, medium>=0.06, large>=0.14",
jsd_score,model,3998.0,0.88286489605903,0.0128395061728394,rank_biserial_r,"negative=Gemini higher than ChatGPT on this metric; small>=0.1, medium>=0.3, large>=0.5",KW(p=0.883) and ANOVA(p=0.002) diverge for this metric. KW is rank-based and more conservative with skewed data. ANOVA detects the parametric difference. Both are reported; ANOVA effect size (np2=0.057) is the primary interpretive metric.
bert_score_f1,condition,62.99485573971765,2.093345349615733e-14,0.3446037047441675,eta_squared,"small>=0.01, medium>=0.06, large>=0.14",
bert_score_f1,domain,75.64627378759974,3.7464536046678626e-17,0.4160806428677951,eta_squared,"small>=0.01, medium>=0.06, large>=0.14",
bert_score_f1,model,3344.0,0.0435502932340527,0.174320987654321,rank_biserial_r,"negative=Gemini higher than ChatGPT on this metric; small>=0.1, medium>=0.3, large>=0.5",
mattr,condition,93.81082872928177,4.258310938018479e-21,0.518705247058089,eta_squared,"small>=0.01, medium>=0.06, large>=0.14",
mattr,domain,46.02854511970531,1.0116456588620884e-10,0.2487488424842108,eta_squared,"small>=0.01, medium>=0.06, large>=0.14",
mattr,model,4180.0,0.7110160888634933,-0.0320987654320987,rank_biserial_r,"negative=Gemini higher than ChatGPT on this metric; small>=0.1, medium>=0.3, large>=0.5",
hedge_density,condition,8.701254347717192,0.0128987203029293,0.0378601940548993,eta_squared,"small>=0.01, medium>=0.06, large>=0.14",
hedge_density,domain,11.355408916910116,0.003421403409396,0.0528554176096616,eta_squared,"small>=0.01, medium>=0.06, large>=0.14",
hedge_density,model,5457.0,5.7237100396139245e-05,-0.3474074074074074,rank_biserial_r,"negative=Gemini higher than ChatGPT on this metric; small>=0.1, medium>=0.3, large>=0.5",
mean_sent_len,condition,30.46848196991397,2.4202108537004986e-07,0.1608388811859546,eta_squared,"small>=0.01, medium>=0.06, large>=0.14",
mean_sent_len,domain,9.843227743437382,0.0072873604864245,0.0443120211493637,eta_squared,"small>=0.01, medium>=0.06, large>=0.14",
mean_sent_len,model,1610.0,2.967145092710808e-12,0.6024691358024692,rank_biserial_r,"negative=Gemini higher than ChatGPT on this metric; small>=0.1, medium>=0.3, large>=0.5",
sent_len_var,condition,77.10483732351133,1.8067468706433418e-17,0.4243211148220979,eta_squared,"small>=0.01, medium>=0.06, large>=0.14",
sent_len_var,domain,0.2350030693676217,0.8891391471979462,-0.0099717340713693,eta_squared,"small>=0.01, medium>=0.06, large>=0.14",
sent_len_var,model,4231.0,0.6055752328442311,-0.0446913580246912,rank_biserial_r,"negative=Gemini higher than ChatGPT on this metric; small>=0.1, medium>=0.3, large>=0.5",
Care_Fairness_Score,condition,2.1920323613141663,0.3341998269391735,0.0010849285949952,eta_squared,"small>=0.01, medium>=0.06, large>=0.14",
Care_Fairness_Score,domain,120.29733045393702,7.54686529153885e-27,0.6683464997397572,eta_squared,"small>=0.01, medium>=0.06, large>=0.14",
Care_Fairness_Score,model,5064.5,0.0037196899221427,-0.2504938271604937,rank_biserial_r,"negative=Gemini higher than ChatGPT on this metric; small>=0.1, medium>=0.3, large>=0.5",
Authority_Loyalty_Score,condition,2.480065972747369,0.2893746723605371,0.0027122371341659,eta_squared,"small>=0.01, medium>=0.06, large>=0.14",
Authority_Loyalty_Score,domain,125.55622546856006,5.44267065458519e-28,0.6980577710088138,eta_squared,"small>=0.01, medium>=0.06, large>=0.14",
Authority_Loyalty_Score,model,4512.0,0.1867261718693994,-0.114074074074074,rank_biserial_r,"negative=Gemini higher than ChatGPT on this metric; small>=0.1, medium>=0.3, large>=0.5",
Technocratic_Framing_Score,condition,24.60775592501616,4.534127150426319e-06,0.127727434604611,eta_squared,"small>=0.01, medium>=0.06, large>=0.14",
Technocratic_Framing_Score,domain,21.18410328052763,2.511484028162648e-05,0.1083847642967662,eta_squared,"small>=0.01, medium>=0.06, large>=0.14",
Technocratic_Framing_Score,model,5491.5,1.4743170025447796e-05,-0.355925925925926,rank_biserial_r,"negative=Gemini higher than ChatGPT on this metric; small>=0.1, medium>=0.3, large>=0.5",
US_Distinctive_Term_Frequency,condition,16.196566694342398,0.0003040606569042,0.0802065914934598,eta_squared,"small>=0.01, medium>=0.06, large>=0.14",
US_Distinctive_Term_Frequency,domain,35.40319480353797,2.0525508612495764e-08,0.188718614709254,eta_squared,"small>=0.01, medium>=0.06, large>=0.14",
US_Distinctive_Term_Frequency,model,6515.0,1.7790290575933005e-12,-0.6086419753086421,rank_biserial_r,"negative=Gemini higher than ChatGPT on this metric; small>=0.1, medium>=0.3, large>=0.5",
