metric,slope,R2,p_value,CI_lower,CI_upper
jsd_score,0.028871206645751275,0.12831271350963222,7.925039341267945e-07,0.01781626341707814,0.03992614987442441
bert_score_f1,-0.017134514451026917,0.16395302404374915,1.7208724770000873e-08,-0.022818768721995845,-0.01145026018005799
mattr,0.010234200847652166,0.04400528978296226,0.004708500457463132,0.003226503968215176,0.017241897727089155
hedge_density,-0.04378084683100681,0.03249173900954399,0.015461299703196985,-0.07887793532721049,-0.008683758334803136
mean_sent_len,-2.3457614152289215,0.08866396955133872,4.916178624605549e-05,-3.450591759027579,-1.2409310714302637
sent_len_var,-178.25705700822684,0.17422084808778035,5.567818809809961e-09,-235.27016251468118,-121.2439515017725
Care_Fairness_Score,0.6557699724653886,0.008195461896289693,0.22681928195953538,-0.4040300505303561,1.7155699954611334
Authority_Loyalty_Score,0.7122169364938857,0.0011557395391980677,0.6505056069770846,-2.363718891793747,3.7881527647815183
Technocratic_Framing_Score,0.06696736997328696,0.001622205195897169,0.5913914624233174,-0.1770967149665465,0.3110314549131204
US_Distinctive_Term_Frequency,7.512468249912497,0.07582252794233557,0.00018316148897975658,3.6593948810921497,11.365541618732845
