metric,cond_innovation_coef,cond_unconstrained_coef,R2,adj_R2,F_stat,p_value
jsd_score,0.10964347146475958,0.05774241329150266,0.809277306202073,0.8037967690239717,147.66386576770478,1.1319502657822471e-60
bert_score_f1,-0.04922204116980221,-0.03426902890205369,0.7589633978742009,0.7520370587326549,109.57641293100194,7.22490755993197e-52
mattr,0.0651031406594162,0.020468401695304495,0.7739455867515701,0.767449770278914,119.14523601605333,2.7969690394486476e-54
hedge_density,-0.05296532576108606,-0.08756169366201355,0.2278392152223383,0.20565068692412958,10.268333805659939,1.2211850990770947e-08
mean_sent_len,-7.036345844081275,-4.691522830457835,0.5512814439733889,0.5383872325933139,42.75418075007399,1.3637767490565083e-28
sent_len_var,-530.4112663159747,-356.51411401645345,0.4063165704085866,0.38925670174216664,23.817098381792732,3.29819896018262e-18
Care_Fairness_Score,1.1255758830782925,1.3115399449307779,0.7628998343255224,0.756086611173957,111.97341072708505,1.7378128130763255e-52
Authority_Loyalty_Score,-2.93200889432069,1.4244338729877808,0.7864653135725221,0.780329259364836,128.17118085224539,2.0147110431287744e-56
Technocratic_Framing_Score,1.0928479970703293,0.13393473994657418,0.32046180452256257,0.3009348448824063,16.411249392022526,2.963477886882712e-13
US_Distinctive_Term_Frequency,10.561506939881301,15.024936499824998,0.5753067440371243,0.5631029148427888,47.14149427002444,1.2100138840490066e-30
